사용일자,in_final,out_final,net_in_out_final,pre_week,next_week,week,weekend&public holiday
2023-05-22,32919.32919,34396.0,-1476.67081,-1576.676749999999,-870.6675300000011,0,0
2023-05-23,32644.32644,34314.0,-1669.67356,-1433.6507900000004,-2067.9736799999996,1,0
2023-05-24,32656.32656,34224.0,-1567.6734400000003,-1342.6754399999998,-2318.056969999998,2,0
2023-05-25,32772.32772,34542.0,-1769.6722800000002,-654.6659500000001,-1822.0373700000014,3,0
2023-05-26,34422.34422,36451.0,-2028.6557799999994,-946.6521599999986,-1097.9659300000012,4,0
2023-05-29,23458.23458,24499.0,-1040.7654199999993,-2064.675269999999,-1833.94131,0,0
2023-05-30,31549.31549,33182.0,-1632.6845099999987,-2060.6579099999994,-2740.0394700000015,1,0
2023-05-31,33247.33247,34118.0,-870.6675300000011,-1476.67081,-1894.0165199999994,2,0
2023-06-01,31766.36466,33834.33834,-2067.9736799999996,-1669.67356,-1691.0426900000011,3,0
2023-06-02,34459.3108,36777.36777,-2318.056969999998,-1567.6734400000003,-1993.047,4,0
2023-06-05,33971.32056,35793.35793,-1822.0373700000014,-1769.6722800000002,-2205.0274,0,0
2023-06-07,31831.36336,32929.32929,-1097.9659300000012,-2028.6557799999994,-2863.09944,2,0
2023-06-08,30765.38468,32599.325989999998,-1833.94131,-1040.7654199999993,-1869.0226900000002,3,0
2023-06-09,33735.32528,36475.36475,-2740.0394700000015,-1632.6845099999987,-1725.0114100000003,4,0
2023-06-12,33252.33494,35146.35146,-1894.0165199999994,-870.6675300000011,-1756.0064999999986,0,0
2023-06-13,34192.316139999995,35883.35883,-1691.0426900000011,-2067.9736799999996,-2667.031689999999,1,0
2023-06-14,34235.315279999995,36228.36228,-1993.047,-2318.056969999998,-2901.0855100000003,2,0
2023-06-15,33511.32976,35716.35716,-2205.0274,-1822.0373700000014,-1739.9462800000001,3,0
2023-06-16,35693.28612,38556.385559999995,-2863.09944,-1097.9659300000012,-2207.9735800000008,4,0
2023-06-19,33466.33066,35335.35335,-1869.0226900000002,-1833.94131,-1630.9841599999982,0,0
2023-06-20,33138.33722,34863.34863,-1725.0114100000003,-2740.0394700000015,-2018.8583199999998,1,0
2023-06-21,32964.3407,34720.3472,-1756.0064999999986,-1894.0165199999994,-2302.009979999999,2,0
2023-06-22,33500.32998,36167.36167,-2667.031689999999,-1691.0426900000011,-1865.3257099999994,3,0
2023-06-23,35216.295659999996,38117.38117,-2901.0855100000003,-1993.047,-2263.30346,4,0
2023-06-26,30962.38074,32702.32702,-1739.9462800000001,-2205.0274,-2075.3323100000007,0,0
2023-06-27,31716.36566,33924.33924,-2207.9735800000008,-2863.09944,-1767.3300599999993,1,0
2023-06-28,32261.35476,33892.338919999995,-1630.9841599999982,-1869.0226900000002,-2550.3434300000013,2,0
2023-06-29,27937.44124,29956.29956,-2018.8583199999998,-1725.0114100000003,-1222.31234,3,0
2023-06-30,32898.34202,35200.352,-2302.009979999999,-1756.0064999999986,-2204.2963199999995,4,0
2023-07-03,30706.0,32571.32571,-1865.3257099999994,-2667.031689999999,-1656.32442,0,0
2023-07-04,28083.0,30346.30346,-2263.30346,-2901.0855100000003,-1849.2980700000003,1,0
2023-07-05,31156.0,33231.33231,-2075.3323100000007,-1739.9462800000001,-2155.3264099999997,2,0
2023-07-06,31239.0,33006.33006,-1767.3300599999993,-2207.9735800000008,-1144.3288100000002,3,0
2023-07-07,31793.0,34343.34343,-2550.3434300000013,-1630.9841599999982,-1748.3210800000008,4,0
2023-07-10,30012.0,31234.31234,-1222.31234,-2018.8583199999998,-2093.3395499999997,0,0
2023-07-11,27428.0,29632.29632,-2204.2963199999995,-2302.009979999999,-2501.358079999999,1,0
2023-07-12,30786.0,32442.32442,-1656.32442,-1865.3257099999994,-2277.3623600000014,2,0
2023-07-13,27958.0,29807.29807,-1849.2980700000003,-2263.30346,-1699.3316000000004,3,0
2023-07-14,30486.0,32641.32641,-2155.3264099999997,-2075.3323100000007,-1461.3227399999998,4,0
2023-07-17,31737.0,32881.32881,-1144.3288100000002,-1767.3300599999993,-1998.3261100000013,0,0
2023-07-18,30360.0,32108.32108,-1748.3210800000008,-2550.3434300000013,-2242.3419299999987,1,0
2023-07-19,31862.0,33955.33955,-2093.3395499999997,-1222.31234,-2421.3423,2,0
2023-07-20,33307.0,35808.35808,-2501.358079999999,-2204.2963199999995,-2543.3470000000007,3,0
2023-07-21,33959.0,36236.36236,-2277.3623600000014,-1656.32442,-1716.6666299999997,4,0
2023-07-24,31461.0,33160.3316,-1699.3316000000004,-1849.2980700000003,-2453.672559999998,0,0
2023-07-25,30813.0,32274.32274,-1461.3227399999998,-2155.3264099999997,-2512.6718299999993,1,0
2023-07-26,30613.0,32611.32611,-1998.3261100000013,-1144.3288100000002,-2080.673729999999,2,0
2023-07-27,31951.0,34193.34193,-2242.3419299999987,-1748.3210800000008,-1332.6962099999987,3,0
2023-07-28,31809.0,34230.3423,-2421.3423,-2093.3395499999997,-2366.6796099999997,4,0
2023-07-31,32157.0,34700.347,-2543.3470000000007,-2501.358079999999,-1492.6818599999967,0,0
2023-08-01,31620.0,33336.66663,-1716.6666299999997,-2277.3623600000014,-2106.7556899999995,1,0
2023-08-02,30290.0,32743.67256,-2453.672559999998,-1699.3316000000004,-2311.679939999999,2,0
2023-08-03,30304.0,32816.67183,-2512.6718299999993,-1461.3227399999998,-2879.6475599999994,3,0
